User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
User,Location,Tweeter,Mentions
elianeg1963,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
ivomarcelino,,"b'RT @BrazilFight: URGENTE - BIDEN PODE NO TER VENCIDO NO ARIZONA\nBiden agora lidera por apenas 14.746 votos, ante 16.952 votos na tarde de'",BrazilFight
DhomnCRF,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Gilbert_gyba,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
betobraga22,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Salomaoaraujo65,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
masumcanal,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
7938ba51ded8488,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
luizflaviorocha,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
makson_carlos,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
FloraOliveira11,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
IvanildoS5,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
MB_Fernandes,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Geanesi16217562,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
VniaCampos33,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
klebsonmar,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Nanndo_SP,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
symmonsbr,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Aldrinsantanna,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
mrsouzar,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
cury_sandra,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
thadeusimoes,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Elizabe84964705,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
FMagaldi1,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
AdriDedex,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
juli__silva,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
sueversonsilva,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
1981Kele,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
AmosAlves3,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
cledersonbucci,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
osoldaliberdade,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
WaldineeyO,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
Zaldini,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
diegoquiqueto,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
wsaintmartin,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
JADIRSANTANA1,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
LilianPires19,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
BrasilMito2022,,"b'RT @colunapatriota: URGENTE: Condado de Maricopa, no Arizona,Trump - 56.4%, Biden - 41.8%, Total contado - 5291\nCdulas restantes - 22456 ('",colunapatriota
