Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality,pageranks
VanessaDalCin1,VanessaDalCin1,,0,1,1,0,1,1,1,1,1,0,46,0,2324,0,0,0.00009
hjuniov,hjuniov,,0,1,1,0,1,1,1,1,1,0,46,0,2325,0,0,0.00009
OFuturoAgora38,OFuturoAgora38,,0,1,1,0,1,1,1,1,1,0,46,0,2326,0,0,0.00009
leo1554,leo1554,,0,1,1,0,2,2,1,1,1,0,46,0,2327,0,0,0.00009
Camelot96240788,Camelot96240788,,0,1,1,0,2,2,1,1,1,0,46,0,2328,0,0,0.00009
carlin79,carlin79,,0,1,1,0,1,1,1,1,1,0,46,0,2329,0,0,0.00009
RSodre52,RSodre52,,0,1,1,0,2,2,1,1,1,0,46,0,2330,0,0,0.00009
SergioOAlves60,SergioOAlves60,,0,1,1,0,1,1,1,1,1,0,46,0,2331,0,0,0.00009
eduardo35pa,eduardo35pa,,0,1,1,0,1,1,1,1,1,0,46,0,2332,0,0,0.00009
absjr,absjr,,0,1,1,0,1,1,1,1,1,0,46,0,2333,0,0,0.00009
Fabiojefferson,Fabiojefferson,,0,1,1,0,1,1,1,1,1,0,46,0,2334,0,0,0.00009
DamascenoNeli,DamascenoNeli,,0,1,1,0,1,1,1,1,1,0,46,0,2335,0,0,0.00009
ClaudiaGean2,ClaudiaGean2,,0,1,1,0,1,1,1,1,1,0,46,0,2336,0,0,0.00009
MariPenteado17,MariPenteado17,,0,1,1,0,1,1,1,1,1,0,46,0,2337,0,0,0.00009
HlioFreire5,HlioFreire5,,0,1,1,0,1,1,1,1,1,0,46,0,2338,0,0,0.00009
apareci96017948,apareci96017948,,0,1,1,0,1,1,1,1,1,0,46,0,2339,0,0,0.00009
Andrea1Pereira,Andrea1Pereira,,0,1,1,0,1,1,1,1,1,0,46,0,2340,0,0,0.00009
picapau0717,picapau0717,,0,1,1,0,2,2,1,1,1,0,46,0,2341,0,0,0.00009
emeveiga3,emeveiga3,,0,1,1,0,1,1,1,1,1,0,46,0,2342,0,0,0.00009
PauloLi45320591,PauloLi45320591,,0,1,1,0,2,2,1,1,1,0,46,0,2343,0,0,0.00009
GleiceMarinho4,GleiceMarinho4,,0,1,1,0,1,1,1,1,1,0,46,0,2344,0,0,0.00009
TatiG72,TatiG72,,0,1,1,0,1,1,1,1,1,0,46,0,2345,0,0,0.00009
DePuliceno,DePuliceno,,0,1,1,0,2,2,1,1,1,0,46,0,2346,0,0,0.00009
ZarurMariano,ZarurMariano,,0,1,1,0,1,1,1,1,1,0,46,0,2347,0,0,0.00009
Izabelbelel1,Izabelbelel1,,0,1,1,0,2,2,1,1,1,0,46,0,2348,0,0,0.00009
rogeltonfoss,rogeltonfoss,,0,1,1,0,1,1,1,1,1,0,46,0,2349,0,0,0.00009
alemansur4,alemansur4,,0,1,1,0,1,1,1,1,1,0,46,0,2350,0,0,0.00009
Lidiamar16,Lidiamar16,,0,1,1,0,2,2,1,1,1,0,46,0,2351,0,0,0.00009
HPereirz1,HPereirz1,,0,1,1,0,1,1,1,1,1,0,46,0,2352,0,0,0.00009
OsbornBarros,OsbornBarros,,0,1,1,0,1,1,1,1,1,0,46,0,2353,0,0,0.00009
SilasFreitas,SilasFreitas,,0,1,1,0,1,1,1,1,1,0,46,0,2354,0,0,0.00009
VillarSid,VillarSid,,0,1,1,0,1,1,1,1,1,0,46,0,2355,0,0,0.00009
RaelMDK,RaelMDK,,0,1,1,0,1,1,1,1,1,0,46,0,2356,0,0,0.00009
TJrPereira81,TJrPereira81,,0,1,1,0,1,1,1,1,1,0,46,0,2357,0,0,0.00009
katiamlandi,katiamlandi,,0,1,1,0,1,1,1,1,1,0,46,0,2358,0,0,0.00009
guiaiuba,guiaiuba,,0,1,1,0,1,1,1,1,1,0,46,0,2359,0,0,0.00009
DazziLincoln,DazziLincoln,,0,1,1,0,1,1,1,1,1,0,46,0,2360,0,0,0.00009
dieghosouza,dieghosouza,,0,1,1,0,1,1,1,1,1,0,46,0,2361,0,0,0.00009
EnioTadeu3,EnioTadeu3,,0,1,1,0,1,1,1,1,1,0,46,0,2362,0,0,0.00009
clfpadilha,clfpadilha,,0,1,1,0,2,2,1,1,1,0,46,0,2363,0,0,0.00009
reislf56,reislf56,,0,1,1,0,2,2,1,1,1,0,46,0,2364,0,0,0.00009
AstridNascimen1,AstridNascimen1,,0,1,1,0,1,1,1,1,1,0,46,0,2365,0,0,0.00009
MariaCa31098065,MariaCa31098065,,0,1,1,0,1,1,1,1,1,0,46,0,2366,0,0,0.00009
RicardoQuezado,RicardoQuezado,,0,1,1,0,1,1,1,1,1,0,46,0,2367,0,0,0.00009
douglasmpaula,douglasmpaula,,0,1,1,0,1,1,1,1,1,0,46,0,2368,0,0,0.00009
WanderLuiMende,WanderLuiMende,,0,1,1,0,1,1,1,1,1,0,46,0,2369,0,0,0.00009
