User,Location,Tweeter,Mentions
mineirotchotcho,,b'@GuilhermeBoulos @JornaldoBrasil O LARANJAL DO BOULOS KKKK',GuilhermeBoulos
WanDer67769451,,"b'@JooBelmCosta1 @GuilhermeBoulos Voto em Bruno Covas, Boulos  culiado com o PT, partido do Luladro, fora o laranjal! #QuemComparaVotaCOVAS'",JooBelmCosta1
SpeakBrasil,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
MaurilioVegeta,,b'@celtarebaixado3 @stormiesick @TerraqueosP @GuilhermeBoulos  ela q ta administrando o laranjal do boulos',celtarebaixado3
arsol2018,,"b'@Corisco59150255 @opropriolavo Kkkkk!!Laranjal por laranjal, o do boulos e dos petistas so bem maiores. Se no possui a iseno necessria para julgar, no deveria apontar o dedo!Tsc!'",Corisco59150255
marcomachado280,,"b'Al STF,  al TSE vai ficar por isso mesmo o laranjal do BOULOS????????'",
susin_l,,"b'RT @SpeechesBolso: nas pesquisas Boulos tinha 14% no mximo antes do primeiro turno, aparece um esquema de laranjal dele e... o cara sobe p'",SpeechesBolso
SuperBrasil3,,"b'As iminentes derrotas de ""avio"" e ""laranjal"" vo soterrar a cantilena das redaes esquerdistas https://t.co/hVcPSuRUmZ'",
Roberto56992482,,"b'RT @SpeechesBolso: nas pesquisas Boulos tinha 14% no mximo antes do primeiro turno, aparece um esquema de laranjal dele e... o cara sobe p'",SpeechesBolso
OdilonOliv,,b'Bomba: jornalista desvenda a trama srdida no PSL e o laranjal de Boulos https://t.co/ZnpUpjDhJU via @YouTube',YouTube
emabolsonarista,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
LeoVieira2323,,"b'@otempo O Jornalista q revelou o laranjal do Boulos com vdeos e tudo, foi preso por ""propagar desinformao"". \nVcs da imprensa massacraram o jornalista. \nVcs da imprensa fazem parte dessa corrupo, protegendo ""os seus""'",otempo
Jose60044753,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
